id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
0,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,0,8079.1107,6450.6141,6582.4118,9089.587,4707.0342,6.300453,6.1181026,1
1,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,9,7910.3911,5993.4791,6009.6154,8578.095,4650.2976,6.332279,5.9128666,1
2,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,19,8104.2531,5629.6163,5644.8699,9059.284,4609.4845,6.9604044,5.4390154,1
3,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,29,8070.7645,5614.4448,5632.6604,9063.2251,4606.4269,7.8092766,5.1464696,1
4,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,39,8138.0208,5596.3467,5612.4282,8879.1021,4545.4545,7.0885744,3.5954027,1
5,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,49,7005.1558,5395.8387,5401.4346,7548.3092,4402.0285,5.963444,2.3852172,1
6,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,59,6693.7989,5744.4853,5761.4307,7031.1621,4333.3564,5.0961156,2.5449207,1
7,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,69,13950.8929,11765.8133,11765.8133,13377.5685,5848.7741,7.415716,3.0554867,1
8,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,79,12682.6299,11488.9706,208.578,12056.3272,5744.4853,6.61675,1.9737912,1
9,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,89,14827.9953,14288.9803,15034.8809,13135.7713,6180.7753,7.278271,2.622959,1
10,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,99,21367.5214,22710.7558,235.4947,15416.8722,6877.2007,6.318896,2.8490696,1
11,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,0,8041.6881,5536.8533,5517.3023,8797.8604,4542.4813,6.0381784,6.520929,2
12,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,9,7689.4685,5486.3062,5491.1263,8346.688,4506.4532,5.906874,6.18574,2
13,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,19,7115.2095,5413.1301,5425.3472,7342.5752,4438.9205,4.720515,5.2524285,2
14,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,29,6191.1838,5061.1386,5086.263,6341.3149,4248.5215,4.7140226,4.424549,2
15,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,39,4882.8125,4264.4651,4265.6293,4932.1338,3727.3378,3.6315534,3.3565438,2
16,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,49,3244.3937,3100.1984,3110.0717,3266.0953,2791.9235,3.4665294,1.832137,2
17,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,59,2570.8527,2543.1315,2563.1562,2565.0497,2303.2983,1.9937705,0.054279484,2
18,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,69,8877.8409,9012.2567,9059.284,8418.6422,5155.4896,5.6226625,2.3299375,2
19,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,79,6105.3043,6180.7753,52.7791,5884.5683,4245.9239,3.2639868,0.75625,2
20,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,89,7631.2576,7548.3092,7570.2519,7398.2008,4584.8005,4.308992,1.3933649,2
