id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
0,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,0,135.8223,114.8425,114.7681,149.3126,78.9603,-0.26226676,7.2861357,1
1,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,9,135.5396,114.7277,114.5998,149.2531,78.3509,-0.7219913,7.4706798,1
2,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,19,135.6449,114.9524,115.7144,148.9117,77.6868,-0.9313494,7.484342,1
3,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,29,135.0627,117.0044,117.2292,147.9314,76.7283,-0.3422419,7.30627,1
4,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,39,136.8702,119.7502,120.237,147.5194,76.3301,-0.103803344,7.0119433,1
5,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,49,147.463,132.1643,58.3805,156.0128,78.7055,0.9445609,6.501928,1
6,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,59,152.3893,144.8935,28.0807,158.4337,79.8021,0.7276023,5.5476985,1
7,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,69,159.3684,160.1196,18.2268,159.2991,77.861,1.0558817,5.652705,1
8,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,79,164.3647,172.1914,13.3876,154.2529,82.4137,1.1503843,5.6613417,1
9,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,89,169.7084,180.9621,8.0574,155.1085,82.6098,1.3543496,5.3210993,1
10,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,99,170.8482,185.8525,1.8592,151.3255,83.0034,1.5333006,5.0068927,1
11,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,0,117.722,110.7787,110.6149,127.8393,69.7856,1.3932685,5.405515,2
12,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,9,111.3097,105.506,105.7002,117.2645,70.3274,1.1676698,5.333435,2
13,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,19,99.9091,97.2044,97.58,103.8299,66.6965,1.2332277,4.629676,2
14,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,29,87.5956,86.5981,86.6979,89.84,59.38,1.6124535,3.5890162,2
15,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,39,78.3202,78.0914,78.3767,79.8441,54.6544,1.5345123,2.8981638,2
16,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,49,80.7611,81.0544,19.9549,81.4989,57.4769,1.8553671,2.180135,2
17,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,59,76.7801,78.0348,7.8337,77.2857,55.4677,1.4049658,1.6704953,2
18,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,69,77.8047,79.6121,4.8366,76.6507,55.6784,1.9690304,1.1545997,2
19,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,79,78.898,81.6053,3.4738,76.5275,54.1677,1.9331369,0.6867125,2
20,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,89,80.7846,83.9807,2.0551,77.3395,56.5582,2.2795382,0.50166935,2
21,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,99,82.4872,85.9461,0.4675,77.7702,54.7876,2.7408507,0.031618975,2
22,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,0,163.3184,144.6663,145.3003,178.0912,89.4574,-1.0315799,8.152823,3
23,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,9,152.9108,134.9056,135.6524,168.2292,85.0261,-1.480077,7.869442,3
24,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,19,146.9287,128.0707,129.1749,162.0717,83.9694,-1.5019637,7.0366683,3
25,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,29,143.6755,124.0495,124.9222,157.5863,83.1207,-0.8561544,7.2253294,3
26,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,39,147.0982,127.198,127.4969,158.0353,82.7664,-0.47227687,6.9109488,3
27,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,49,155.3833,134.5498,102.2525,165.239,83.3285,0.44529024,6.662848,3
28,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,59,167.6089,147.8632,71.7118,171.4169,84.3284,0.8726887,6.213483,3
29,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,69,180.7148,168.97,55.488,178.9098,86.2954,0.94869035,5.9982643,3
30,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,79,197.0564,194.3529,44.2995,184.1529,88.3291,0.64537144,5.4609613,3
31,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,89,215.9118,220.9784,29.4185,190.2888,90.1144,0.99535424,4.6982226,3
32,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,99,227.3482,243.9024,7.3235,192.4717,91.8991,0.13185832,3.5847704,3
33,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,0,71.9984,72.0825,72.2116,72.0274,39.6728,3.1373749,0.42159912,4
34,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,9,72.8152,73.0087,73.1716,72.1391,39.4295,3.1656628,1.2256777,4
