id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
0,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,0,719.1347,744.9455,745.7511,614.5753,290.3086,6.8341165,-1.3464239,1
1,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,9,674.6546,667.5657,664.3282,614.0469,286.5083,7.058895,-1.3285449,1
2,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,19,625.2579,609.3994,611.3067,613.4367,281.5617,6.945422,-1.8254207,1
3,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,29,567.2085,555.5494,553.8387,613.0343,255.8454,6.617376,-1.3148904,1
4,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,39,504.9765,511.0228,509.1779,612.2761,269.8808,6.3271794,-0.87508446,1
5,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,49,456.1253,470.1789,472.8445,611.8828,263.7931,5.943529,-0.42957228,1
6,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,59,434.9944,440.0905,424.7764,588.4845,256.4905,5.928444,-0.29174238,1
7,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,69,338.0937,336.2961,309.3925,391.7221,221.0981,5.1852617,-0.23324266,1
8,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,79,379.1944,356.1495,4.1798,404.3165,225.3257,5.5613785,0.30485842,1
9,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,89,470.4377,435.8856,26.3076,487.0636,248.3941,5.986712,0.46860933,1
10,diagonal_x,NVIDIA GeForce GTX 1080 Ti,1024 1024,99,467.926,424.4248,38.9402,458.8166,242.8098,6.662372,0.48032346,1
11,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,0,424.5924,463.8154,464.1448,608.0728,263.6255,2.8082817,-0.88930416,2
12,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,9,440.0905,450.347,451.0681,609.0542,260.3475,3.0527945,-0.64611566,2
13,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,19,430.3926,439.4349,438.8313,602.8164,257.3625,3.48869,-0.8742584,2
14,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,29,422.2081,424.7764,425.0544,572.7738,253.7955,4.428617,-0.9518738,2
15,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,39,423.0691,410.7518,411.8023,552.9811,249.7602,4.8667035,-0.22727631,2
16,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,49,405.3802,386.2988,387.8374,480.9473,239.0663,4.5186787,-0.13934389,2
17,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,59,292.603,288.6769,261.5678,324.7628,203.2235,2.8730326,-0.027561506,2
18,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,69,147.6533,146.3244,126.7851,153.2224,123.0945,1.1946328,0.209451,2
19,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,79,161.2287,156.5273,1.0512,163.6233,124.8094,-0.057273526,0.7317761,2
20,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,89,222.7558,217.7221,6.7727,223.7041,161.23,0.040220045,0.23924737,2
21,diagonal_x,NVIDIA GeForce GTX 1080 Ti,2048 2048,99,184.3994,181.1982,10.1015,190.6643,138.2958,-0.9436275,0.38487804,2
22,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,0,819.9544,965.9503,963.0942,616.5152,308.4088,9.646315,-4.855872,3
23,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,9,820.0082,961.6587,959.4167,616.1278,306.613,9.7151985,-4.9050274,3
24,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,19,818.5785,951.3481,950.0105,615.7408,303.4818,9.420318,-4.9813313,3
25,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,29,801.7767,914.3944,916.1033,615.3505,299.8806,9.476727,-4.2467804,3
26,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,39,751.778,792.7762,791.4774,614.1903,281.7552,9.162896,-2.945803,3
27,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,49,676.5671,679.5833,677.9339,613.4179,287.4356,8.212302,-2.1689239,3
28,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,59,600.0384,600.4708,592.0453,614.1903,277.2356,8.316227,-2.0689113,3
29,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,69,557.2397,567.4403,552.8222,614.5753,270.4435,7.836755,-0.99033314,3
30,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,79,593.7185,591.6775,16.4113,604.6827,279.2173,7.062917,-0.28769264,3
31,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,89,617.1011,592.7542,95.0489,615.3505,282.1209,6.827965,0.42983413,3
32,diagonal_x,NVIDIA GeForce GTX 1080 Ti,512 512,99,638.484,587.2887,134.2077,610.3516,279.5436,7.390618,-0.32272613,3
33,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,0,381.8426,471.9831,473.8303,223.9918,146.3032,-1.8156513,2.3774903,4
34,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,9,365.9746,433.6607,432.6944,224.0013,143.2402,-1.7354889,2.0764897,4
35,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,19,342.562,370.5488,371.0878,223.9772,139.6143,-1.9685677,1.7350613,4
