id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
0,complex-planes,2x Intel Xeon E5-2630 v4,512,0,520.6435,450.5215,199.972,236.6136,496.7488,435.487,497.6412,426.6794,4.0162096,3.810453,1
1,complex-planes,2x Intel Xeon E5-2630 v4,512,1,511.6503,447.6075,185.9628,237.9819,510.113,455.5912,497.2823,446.7716,3.8020768,4.0286474,1
2,complex-planes,2x Intel Xeon E5-2630 v4,512,2,491.6832,453.6794,187.7839,238.7946,498.9746,436.3573,479.2692,419.1115,3.6936302,3.815712,1
3,complex-planes,2x Intel Xeon E5-2630 v4,512,3,502.927,449.6686,204.2596,232.3771,494.5232,435.8723,509.9829,420.8311,3.3897173,3.6359515,1
4,complex-planes,2x Intel Xeon E5-2630 v4,512,4,515.7643,455.1413,205.3658,235.6806,493.0189,445.6765,478.192,449.6019,3.4577107,3.5605352,1
5,complex-planes,2x Intel Xeon E5-2630 v4,512,5,492.0921,458.4548,213.4964,257.6841,495.9653,461.721,498.0824,457.7581,3.312747,3.1460588,1
6,complex-planes,2x Intel Xeon E5-2630 v4,512,6,498.4001,478.0594,212.6614,252.6746,493.031,445.1606,516.0331,464.1685,3.641807,2.6702461,1
7,complex-planes,2x Intel Xeon E5-2630 v4,512,7,498.3703,463.0316,214.0145,251.2165,491.4174,470.699,494.4107,473.5925,3.6963577,2.5265017,1
8,complex-planes,2x Intel Xeon E5-2630 v4,512,8,502.1921,463.1388,228.4258,266.5053,513.9301,449.5918,496.4085,452.2166,3.17923,2.7345698,1
9,complex-planes,2x Intel Xeon E5-2630 v4,512,9,503.1244,474.2866,216.5599,251.6363,513.8746,452.8063,498.4672,458.3456,3.0615816,2.26644,1
10,complex-planes,2x Intel Xeon E5-2630 v4,512,10,496.1597,463.0508,209.1162,274.2995,512.8468,468.0268,501.6781,449.9498,3.308201,1.949568,1
11,complex-planes,2x Intel Xeon E5-2630 v4,1024,0,144.8012,130.6745,56.912,68.2394,142.3739,125.916,140.5051,121.2928,3.6915243,4.038887,2
12,complex-planes,2x Intel Xeon E5-2630 v4,1024,1,144.9971,128.1214,55.3339,68.342,142.2192,125.1991,138.0924,120.9759,4.0172334,3.932043,2
13,complex-planes,2x Intel Xeon E5-2630 v4,1024,2,144.7302,125.9325,54.7546,68.1989,142.3723,125.6422,137.5618,118.3684,3.8660095,4.161654,2
14,complex-planes,2x Intel Xeon E5-2630 v4,1024,3,145.5096,127.7448,55.6743,68.8843,142.6833,122.561,141.2982,123.3601,3.4362733,3.977768,2
15,complex-planes,2x Intel Xeon E5-2630 v4,1024,4,142.2242,128.3893,58.3758,69.7754,140.5499,125.9735,142.8033,125.5017,3.4960358,3.8837535,2
16,complex-planes,2x Intel Xeon E5-2630 v4,1024,5,143.2683,130.2704,60.6756,71.9186,141.2729,126.7482,141.1026,123.923,3.7290976,3.384359,2
17,complex-planes,2x Intel Xeon E5-2630 v4,1024,6,145.4787,132.8611,62.0837,75.3716,144.4897,127.8413,143.6115,127.663,3.3840249,2.7713006,2
18,complex-planes,2x Intel Xeon E5-2630 v4,1024,7,147.671,135.1207,65.7009,73.7615,143.4103,130.481,145.7121,131.0369,3.5590897,2.696642,2
19,complex-planes,2x Intel Xeon E5-2630 v4,1024,8,144.6638,133.6228,63.5437,76.255,146.0135,126.4103,141.4879,129.8366,3.4200845,2.8906138,2
20,complex-planes,2x Intel Xeon E5-2630 v4,1024,9,143.9073,131.002,66.601,75.478,144.2017,129.3966,142.3958,129.9608,3.3266487,2.3023424,2
21,complex-planes,2x Intel Xeon E5-2630 v4,1024,10,146.8062,132.0017,64.7509,76.3388,146.0436,128.8583,142.8708,130.4582,3.4008417,2.1942294,2
22,complex-planes,2x Intel Xeon E5-2630 v4,2048,0,37.941,33.6712,14.5416,17.9003,37.2014,32.6956,36.1366,31.58,3.1193943,2.7429595,3
23,complex-planes,2x Intel Xeon E5-2630 v4,2048,1,37.3618,34.0735,14.3694,17.8252,36.9094,32.5741,36.0692,32.1313,3.2247705,2.919138,3
24,complex-planes,2x Intel Xeon E5-2630 v4,2048,2,37.2247,33.598,14.149,17.4562,37.0257,32.7874,35.9552,31.9647,2.9433959,2.688085,3
25,complex-planes,2x Intel Xeon E5-2630 v4,2048,3,37.639,33.9332,14.5665,17.5718,36.3996,32.5313,36.7117,32.135,2.955653,2.5909762,3
