id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
0,complex-streamlines,2x Intel Xeon E5-2630 v4,512,0,332.034,245.2158,158.68,162.539,324.2069,223.8699,302.1924,213.6127,4.0398955,4.5138025,1
1,complex-streamlines,2x Intel Xeon E5-2630 v4,512,1,326.8177,240.6889,153.3227,160.133,322.1535,233.8159,303.2858,207.5322,3.7248197,4.165137,1
2,complex-streamlines,2x Intel Xeon E5-2630 v4,512,2,314.0141,231.3481,152.3194,164.109,310.3585,218.4537,300.0426,218.3702,4.2391768,4.381754,1
3,complex-streamlines,2x Intel Xeon E5-2630 v4,512,3,320.7874,235.4919,145.5187,155.7618,319.02,223.4038,291.7485,203.9131,4.048463,4.3028083,1
4,complex-streamlines,2x Intel Xeon E5-2630 v4,512,4,325.0796,235.5102,139.2604,154.8549,317.8761,225.5488,298.6474,216.9941,4.44519,4.114682,1
5,complex-streamlines,2x Intel Xeon E5-2630 v4,512,5,310.1949,224.049,139.9151,155.4028,321.3182,213.1592,305.8768,200.4004,3.5801158,3.7023478,1
6,complex-streamlines,2x Intel Xeon E5-2630 v4,512,6,320.3691,235.7901,147.4809,164.595,315.3888,215.1982,310.2218,222.3423,3.9803483,3.8848372,1
7,complex-streamlines,2x Intel Xeon E5-2630 v4,512,7,312.6906,231.1529,137.4066,154.5593,319.9509,218.605,314.3201,209.3417,4.09493,3.8889494,1
8,complex-streamlines,2x Intel Xeon E5-2630 v4,512,8,315.6795,218.8256,138.4415,164.2007,303.3005,213.2601,304.1807,218.4245,4.3529243,3.9505458,1
9,complex-streamlines,2x Intel Xeon E5-2630 v4,512,9,302.5755,226.9318,135.3977,157.9185,300.9673,217.2534,310.4857,206.4759,4.198765,3.9496393,1
10,complex-streamlines,2x Intel Xeon E5-2630 v4,512,10,315.0599,218.6461,139.8824,153.7426,308.8336,215.3831,306.0369,197.0288,4.252623,3.6872666,1
11,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,0,89.0948,67.5571,45.7748,49.2356,86.3789,65.7713,84.3249,62.303,3.842866,5.114854,2
12,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,1,88.4134,67.3732,44.9196,48.7244,85.8981,65.1016,81.8043,61.6067,3.9458783,4.9048443,2
13,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,2,86.5546,65.6439,44.5905,47.8652,85.2333,62.4563,80.5821,62.1624,3.5100615,4.2455955,2
14,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,3,86.2292,66.1091,42.2845,47.0967,84.6224,61.6371,79.9527,60.5987,4.2136765,4.260944,2
15,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,4,85.0644,65.7445,44.1788,47.1409,84.4787,62.8476,80.8316,60.184,3.872901,4.238989,2
16,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,5,87.4745,66.6378,45.6273,46.4997,85.9793,65.7212,82.5975,62.7928,4.085936,4.163612,2
17,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,6,88.2613,66.8552,46.6224,49.2422,87.8025,65.6513,85.7618,62.9338,4.2951136,4.356171,2
18,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,7,88.2893,66.6134,45.7842,48.5795,87.3103,64.607,86.2984,63.1716,3.9157763,4.285234,2
19,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,8,85.9417,64.0061,43.1367,46.7261,85.2966,62.7321,83.2009,61.0739,3.8756423,3.9668195,2
20,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,9,84.804,61.8479,42.8119,45.9732,84.9813,59.7372,83.7037,60.918,4.071402,4.0173144,2
21,complex-streamlines,2x Intel Xeon E5-2630 v4,1024,10,83.5785,62.096,42.6734,46.0166,82.3927,59.8312,81.2361,59.003,4.0425715,3.890441,2
22,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,0,20.7059,17.479,11.9518,12.8759,22.2708,16.9242,21.1395,16.0969,4.657848,-2.0018194,3
23,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,1,22.4193,17.3079,11.853,12.2128,22.5401,16.7139,21.0755,15.9766,4.7719917,-1.4238718,3
24,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,2,22.6783,16.659,12.0227,12.6632,21.806,16.1576,21.2652,15.7559,4.5368457,-1.0016347,3
25,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,3,21.7423,16.8758,11.862,12.5658,21.8303,16.3935,21.0043,15.5504,4.821026,0.15939425,3
26,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,4,21.9743,17.0033,11.7474,12.3085,21.6636,16.2492,20.7379,15.5923,4.922112,0.32206315,3
27,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,5,22.5292,16.9487,11.8127,12.6317,21.7989,16.197,21.2369,15.9382,4.7825193,0.6009454,3
28,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,6,22.54,17.0438,12.052,12.8206,22.4177,16.49,21.7854,16.3814,4.4709187,1.12358,3
29,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,7,22.1188,16.9531,12.0154,12.5559,22.1373,16.5023,21.7846,16.1254,4.347601,1.3674601,3
30,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,8,22.1512,16.523,11.3192,12.2437,21.5632,16.3442,21.4751,15.9751,4.5386314,1.6397403,3
31,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,9,22.0813,16.1941,11.2798,12.0434,21.293,15.8727,21.4162,15.319,4.6638813,1.7664762,3
32,complex-streamlines,2x Intel Xeon E5-2630 v4,2048,10,21.4161,15.7991,10.9242,11.7239,20.8529,15.26,21.0875,15.5035,4.586615,2.2516227,3
33,complex-streamlines,AMD Ryzen 7 1800X,512,0,206.0708,151.8511,103.3019,110.1767,203.1092,146.8429,191.1647,139.5196,3.8763916,4.6623173,4
34,complex-streamlines,AMD Ryzen 7 1800X,512,1,205.5879,151.1691,100.6786,107.7172,201.8102,144.4023,190.1325,138.343,3.563687,4.332006,4
35,complex-streamlines,AMD Ryzen 7 1800X,512,2,203.0746,148.2002,98.8484,107.0328,199.7016,142.6116,187.8139,136.2953,4.22163,4.293747,4
36,complex-streamlines,AMD Ryzen 7 1800X,512,3,201.3799,146.403,97.5657,104.9284,199.1282,140.6955,187.0725,134.6368,3.6902618,4.259745,4
37,complex-streamlines,AMD Ryzen 7 1800X,512,4,202.3145,147.1633,97.7594,104.9548,199.0367,141.61,188.3108,135.8288,4.299682,4.500063,4
38,complex-streamlines,AMD Ryzen 7 1800X,512,5,204.2379,148.7099,96.9819,105.8799,200.725,141.9975,192.4757,137.6493,3.6720662,4.003294,4
39,complex-streamlines,AMD Ryzen 7 1800X,512,6,205.6247,150.4834,99.5649,108.4946,203.321,145.348,195.8891,141.968,3.9468634,4.0510187,4
40,complex-streamlines,AMD Ryzen 7 1800X,512,7,204.2772,149.6045,97.9317,105.3154,195.6572,142.411,197.278,140.4001,3.7743273,3.89173,4
41,complex-streamlines,AMD Ryzen 7 1800X,512,8,199.7874,145.1301,96.354,105.035,197.6925,138.8233,194.2177,137.2618,4.3163285,4.0606346,4
42,complex-streamlines,AMD Ryzen 7 1800X,512,9,197.4681,140.7097,93.7084,102.39,194.4285,134.6876,189.8636,134.0357,4.041081,4.002872,4
43,complex-streamlines,AMD Ryzen 7 1800X,512,10,194.4927,138.5423,93.8747,101.4735,191.9456,131.6344,190.8674,132.1674,4.112348,3.9921722,4
44,complex-streamlines,AMD Ryzen 7 1800X,1024,0,54.069,40.4853,28.2152,29.6548,53.3456,39.1197,50.3016,37.377,4.622679,3.4136615,5
45,complex-streamlines,AMD Ryzen 7 1800X,1024,1,53.821,40.174,28.0519,29.4137,53.0856,38.6038,50.0383,37.0074,4.185516,3.4548063,5
46,complex-streamlines,AMD Ryzen 7 1800X,1024,2,53.2805,39.686,27.5083,29.2884,52.6252,38.1942,49.6465,35.7678,4.4798307,2.7239392,5
47,complex-streamlines,AMD Ryzen 7 1800X,1024,3,53.0681,39.1152,27.4555,28.9148,52.3813,37.8417,49.4245,36.1992,4.4647098,3.1215167,5
48,complex-streamlines,AMD Ryzen 7 1800X,1024,4,52.9028,39.2867,27.4826,29.1423,52.6443,37.5333,49.9658,36.3397,3.9982936,3.542233,5
49,complex-streamlines,AMD Ryzen 7 1800X,1024,5,53.3809,39.7429,27.7577,29.355,52.7771,38.3387,50.8187,37.1517,4.2860975,3.3735867,5
50,complex-streamlines,AMD Ryzen 7 1800X,1024,6,54.0301,39.997,28.0818,29.8967,53.3715,38.8644,51.9044,38.2441,4.52282,3.6697896,5
51,complex-streamlines,AMD Ryzen 7 1800X,1024,7,53.67,39.8767,27.8447,29.6209,53.0181,38.5104,51.8885,37.9763,4.410077,3.5510125,5
52,complex-streamlines,AMD Ryzen 7 1800X,1024,8,52.7504,38.6353,26.6994,28.7311,52.0367,37.0791,51.4999,36.8033,4.164583,3.4455764,5
53,complex-streamlines,AMD Ryzen 7 1800X,1024,9,51.8949,37.6883,26.1153,28.0385,51.3463,36.1876,50.6735,36.1325,3.9472682,3.3256757,5
54,complex-streamlines,AMD Ryzen 7 1800X,1024,10,51.3289,36.8844,25.8135,27.7249,50.605,35.4898,50.1867,35.2268,4.0717287,2.9968007,5
55,complex-streamlines,AMD Ryzen 7 1800X,2048,0,13.8034,10.3379,7.2263,7.6285,13.6637,10.0009,12.8876,9.6051,2.409727,-3.6994362,6
56,complex-streamlines,AMD Ryzen 7 1800X,2048,1,13.7224,10.2205,7.1823,7.5767,13.5557,9.9156,12.7926,9.4863,2.9388454,-3.261861,6
57,complex-streamlines,AMD Ryzen 7 1800X,2048,2,13.5375,10.1578,7.1002,7.5271,13.4354,9.7834,12.6613,9.3622,2.5934482,-3.3517213,6
58,complex-streamlines,AMD Ryzen 7 1800X,2048,3,13.524,9.962,7.0174,7.4063,13.152,9.701,12.628,9.2465,2.8865092,-3.2873683,6
59,complex-streamlines,AMD Ryzen 7 1800X,2048,4,13.5707,10.0258,7.0558,7.4415,13.3978,9.698,12.8016,9.3576,3.2904336,-2.5290797,6
60,complex-streamlines,AMD Ryzen 7 1800X,2048,5,13.6766,10.1467,7.1113,7.5279,13.5184,9.7639,12.9899,9.4893,3.0740962,-2.5511405,6
61,complex-streamlines,AMD Ryzen 7 1800X,2048,6,13.8229,10.2547,7.2214,7.637,13.6267,9.949,13.2563,9.7486,3.956618,-1.232572,6
