id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
0,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,0,262.8763,260.4044,78.224,85.7545,260.1579,260.7705,251.2683,251.1452,-6.9660115,4.4737954,1
1,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,1,261.7815,255.2082,72.0679,78.4049,261.4912,258.903,243.5662,245.6483,-6.822553,4.2079825,1
2,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,2,252.0295,245.9879,61.6774,67.6549,252.0149,252.7352,231.9217,231.6488,-7.146064,4.4798512,1
3,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,3,249.4711,242.5254,56.645,62.334,247.4488,249.89,227.2557,226.4021,-7.2021394,4.425951,1
4,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,4,249.7677,244.2456,59.3718,64.7488,249.6449,250.0388,229.4846,228.9676,-6.917038,4.266479,1
5,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,5,252.7538,247.9771,66.9295,73.3643,254.438,252.8624,227.7235,236.171,-7.0858827,4.1169744,1
6,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,6,260.1403,258.4046,78.3638,85.7038,257.3645,257.0575,249.3504,250.2496,-6.629562,4.0240383,1
7,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,7,257.0271,255.9535,79.0795,86.3006,255.8336,255.678,256.4076,254.0289,-6.5802255,4.096452,1
8,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,8,249.4655,245.3831,74.0631,78.0988,251.298,250.3712,250.2621,250.1294,-7.144119,3.866738,1
9,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,9,245.5356,234.7368,68.2501,76.6113,244.924,246.2751,245.867,246.2454,-6.244187,3.6350179,1
10,complex-vdb-volume,2x Intel Xeon E5-2630 v4,512,10,238.3955,225.9167,71.8623,79.5267,240.5014,240.8281,240.8809,242.2457,-6.272622,3.482709,1
11,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,0,70.8567,70.6684,21.4493,23.6096,70.7639,70.8,67.8661,67.7635,-6.635597,4.0155215,2
12,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,1,70.5398,69.3587,19.6559,21.7034,70.3933,70.204,65.6888,65.5996,-6.7467175,3.6441293,2
13,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,2,68.5495,66.1629,16.8928,18.4496,68.2841,68.1176,62.2355,62.2925,-6.8120003,4.141168,2
14,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,3,67.341,65.0051,15.3163,16.7469,67.1037,67.4523,60.9073,57.0845,-6.788773,3.990735,2
15,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,4,67.7011,65.8675,15.8821,17.5677,67.4518,67.4336,61.487,61.9659,-7.1197305,4.2684326,2
16,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,5,68.6757,67.3696,18.1523,19.9184,68.6281,68.5518,64.1429,63.9988,-7.0439982,4.0588417,2
17,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,6,70.1203,69.8075,21.4638,23.7532,69.5444,69.9492,64.9085,68.1775,-6.9222403,3.658284,2
18,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,7,69.7657,69.0541,21.9798,23.9959,69.2679,69.0789,69.352,69.0622,-6.737966,3.8099973,2
19,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,8,67.9666,66.0258,20.4211,22.4754,67.4541,67.2192,67.9583,67.8104,-6.230254,3.5753706,2
20,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,9,66.0991,63.3549,18.9376,20.8271,66.3007,66.7748,66.7014,66.3345,-5.8867097,3.1683457,2
21,complex-vdb-volume,2x Intel Xeon E5-2630 v4,1024,10,64.9773,60.8073,19.6231,21.7256,65.508,65.0284,64.9562,64.9891,-5.7359104,3.238149,2
22,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,0,18.0739,17.905,5.5367,6.0536,17.9407,17.9503,17.3171,17.3133,-4.571452,-2.0887225,3
23,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,1,17.8956,17.6192,5.0249,5.5122,17.9498,17.8573,16.7685,16.8802,-4.807337,-1.5161153,3
24,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,2,17.3821,16.9025,4.2685,4.728,17.3845,17.4492,15.9351,15.8811,-5.2190223,-1.4683543,3
25,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,3,17.1846,16.5627,3.9105,4.3462,17.1342,17.1724,15.5043,15.533,-5.29153,-1.0599335,3
26,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,4,17.3516,16.8254,4.1302,4.5044,17.2338,17.1613,15.7497,15.7001,-5.2741985,-0.5687237,3
27,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,5,17.5173,17.3086,4.695,5.124,17.4993,17.499,16.4258,16.401,-5.365433,-0.09173665,3
28,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,6,17.8812,17.6893,5.5983,6.1048,17.8683,17.6347,17.4892,17.3364,-5.3089566,0.21643317,3
29,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,7,17.621,17.4554,5.7232,6.2378,17.587,17.7129,17.6375,17.573,-4.433279,-0.44348925,3
30,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,8,17.2501,16.885,5.2551,5.8495,17.2916,17.4083,17.2875,17.3394,-4.3948545,-0.10058635,3
