id,timestep,version,method,selfTime,totalTime,invocationCount,ncss,ccn,javadocCount,umap_x,umap_y,seq
0,4,(4) #2a31bc5f,org.apache.commons.io.ByteOrderFactory.parseByteOrder (String),71.8,71.8,6.0,9.0,8.0,1.0,2.7528608,36.669807,1
1,5,(5) #45fbfb82,org.apache.commons.io.ByteOrderFactory.parseByteOrder (String),88.4,88.4,6.0,9.0,8.0,1.0,2.9794276,36.81017,1
2,6,(6) #9ba9b49a,org.apache.commons.io.ByteOrderFactory.parseByteOrder (String),100.8,100.8,6.0,9.0,8.0,1.0,3.027371,36.646282,1
3,0,(0) #02628ba9,org.apache.commons.io.ByteOrderMark.equals (Object),84.0,123.8,46.0,10.0,8.0,1.0,5.293474,35.11275,2
4,1,(1) #b3f320fe,org.apache.commons.io.ByteOrderMark.equals (Object),76.6,116.8,46.0,10.0,8.0,1.0,5.5206704,35.481133,2
5,3,(3) #6e2ac190,org.apache.commons.io.ByteOrderMark.equals (Object),72.6,106.8,46.0,10.0,8.0,1.0,5.5772276,35.20231,2
6,4,(4) #2a31bc5f,org.apache.commons.io.ByteOrderMark.equals (Object),91.6,140.2,46.0,10.0,8.0,1.0,5.883504,35.380234,2
7,5,(5) #45fbfb82,org.apache.commons.io.ByteOrderMark.equals (Object),201.2,316.2,46.0,10.0,8.0,1.0,6.037478,35.481136,2
8,6,(6) #9ba9b49a,org.apache.commons.io.ByteOrderMark.equals (Object),233.2,370.8,46.0,10.0,8.0,1.0,5.8101797,35.200333,2
9,7,(7) #67f6f50a,org.apache.commons.io.ByteOrderMark.equals (Object),225.8,364.4,46.0,10.0,8.0,1.0,5.943643,35.29317,2
10,8,(8) #c3a83486,org.apache.commons.io.ByteOrderMark.equals (Object),258.0,404.8,46.0,10.0,8.0,1.0,6.012628,35.31106,2
11,11,(11) #a4fc3e9b,org.apache.commons.io.ByteOrderMark.equals (Object),107.0,164.6,46.0,10.0,8.0,1.0,5.481144,35.405407,2
12,12,(12) #bf545e4d,org.apache.commons.io.ByteOrderMark.equals (Object),211.2,341.8,46.0,10.0,8.0,1.0,5.952486,35.44124,2
13,13,(13) #74ddb125,org.apache.commons.io.ByteOrderMark.equals (Object),242.6,384.8,46.0,10.0,8.0,1.0,5.528157,34.911438,2
14,14,(14) #7233bf46,org.apache.commons.io.ByteOrderMark.equals (Object),174.4,277.4,46.0,10.0,8.0,1.0,5.680439,35.256546,2
15,15,(15) #821f0dc3,org.apache.commons.io.ByteOrderMark.equals (Object),208.6,332.2,46.0,10.0,8.0,1.0,5.9742393,35.266083,2
