id,timestep,version,method,selfTime,totalTime,invocationCount,ncss,ccn,javadocCount,umap_x,umap_y,seq
0,0,(0) #eb5b11a2,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",8.2,1158.6,4.0,7.0,6.0,1.0,13.367551,0.6006256,1
1,2,(2) #6f03c0ce,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",11.6,1782.0,4.0,7.0,6.0,1.0,12.436256,-0.019242948,1
2,3,(3) #d0650d1a,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",11.8,1796.0,4.0,7.0,6.0,1.0,12.5339775,0.036222916,1
3,4,(4) #99900ae0,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",11.6,1455.6,4.0,7.0,6.0,1.0,13.161798,0.6169173,1
4,5,(5) #f643b4fa,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",6.8,1528.0,4.0,7.0,6.0,1.0,13.044777,0.6546451,1
5,6,(6) #23108b1b,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",5.8,1264.4,4.0,7.0,6.0,1.0,13.19537,0.74696076,1
6,7,(7) #9c506279,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",7.2,1334.8,4.0,7.0,6.0,1.0,13.248887,0.6796324,1
7,8,(8) #e8300276,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",8.6,1638.0,4.0,7.0,6.0,1.0,12.8852,0.41648635,1
8,9,(9) #fb7784fa,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",5.8,1286.0,4.0,7.0,6.0,1.0,13.216974,0.71398425,1
9,10,(10) #e3076f92,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",7.0,1572.0,4.0,7.0,6.0,1.0,13.084853,0.6525799,1
10,11,(11) #04c8de23,"org.apache.commons.lang3.AnnotationUtils.annotationArrayMemberEquals (java.lang.annotation.Annotation[], java.lang.annotation.Annotation[])",8.2,2152.0,4.0,7.0,6.0,1.0,12.087585,-1.1176244,1
