id,timestep,version,method,selfTime,totalTime,invocationCount,ncss,ccn,javadocCount,umap_x,umap_y,seq
0,0,(0) #8b07e174,org.apache.commons.text.AlphabetConverter.codePointToString (int),1057.6,1057.6,1755.0,4.0,3.0,1.0,-29.074806,-9.694418,1
1,1,(1) #56c060db,org.apache.commons.text.AlphabetConverter.codePointToString (int),1123.8,1123.8,1755.0,4.0,3.0,1.0,-28.571121,-9.173155,1
2,2,(2) #7746eea7,org.apache.commons.text.AlphabetConverter.codePointToString (int),1261.8,1261.8,1755.0,4.0,3.0,1.0,-28.906843,-9.741006,1
3,3,(3) #e392b7a7,org.apache.commons.text.AlphabetConverter.codePointToString (int),1209.6,1209.6,1755.0,4.0,3.0,1.0,-28.849632,-9.340679,1
4,4,(4) #98add391,org.apache.commons.text.AlphabetConverter.codePointToString (int),1205.8,1205.8,1755.0,4.0,3.0,1.0,-28.864904,-9.519239,1
5,5,(5) #6b9c9049,org.apache.commons.text.AlphabetConverter.codePointToString (int),1123.0,1123.0,1755.0,4.0,3.0,1.0,-28.494463,-9.816347,1
6,7,(7) #ccf24ca5,org.apache.commons.text.AlphabetConverter.codePointToString (int),1033.2,1033.2,1755.0,4.0,3.0,1.0,-28.968464,-9.558745,1
7,8,(8) #3292f74d,org.apache.commons.text.AlphabetConverter.codePointToString (int),825.8,825.8,1755.0,4.0,3.0,1.0,-28.6309,-9.458272,1
8,9,(9) #0b6a285b,org.apache.commons.text.AlphabetConverter.codePointToString (int),1009.6,1009.6,1746.0,4.0,3.0,1.0,-28.91615,-9.5527315,1
9,10,(10) #1911d427,org.apache.commons.text.AlphabetConverter.codePointToString (int),953.0,953.0,1746.0,4.0,3.0,1.0,-28.825779,-9.461784,1
10,13,(13) #5cdb7790,org.apache.commons.text.AlphabetConverter.codePointToString (int),852.2,852.2,1746.0,4.0,3.0,1.0,-29.037004,-9.247535,1
11,0,(0) #8b07e174,org.apache.commons.text.AlphabetConverter.convertCharsToIntegers (Character[]),199.2,199.2,69.0,7.0,5.0,1.0,0.50788367,-5.65772,2
12,1,(1) #56c060db,org.apache.commons.text.AlphabetConverter.convertCharsToIntegers (Character[]),179.0,179.0,69.0,7.0,5.0,1.0,0.9215107,-5.2149734,2
